Year,TeamId,team,Conference,Division,ExpectedWins,Total Games,total_wins,total_losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties
2015,2132,Cincinnati,American Athletic,East,8.3,13,7,6,0,8,4,4,0,6,5,1,0,6,2,4,0
2006,2132,Cincinnati,Big East,,0,13,8,5,0,7,4,3,0,8,7,1,0,5,1,4,0
1954,2132,Cincinnati,FBS Independents,,0,10,8,2,0,2,2,0,0,7,5,2,0,3,3,0,0
1982,2132,Cincinnati,FBS Independents,,0,11,6,5,0,6,2,4,0,5,5,0,0,6,1,5,0
1965,2132,Cincinnati,Missouri Valley,,0,10,5,5,0,3,1,2,0,6,3,3,0,4,2,2,0
1994,2132,Cincinnati,FBS Independents,,0,11,2,8,1,3,1,2,0,6,2,3,1,5,0,5,0
2013,2132,Cincinnati,American Athletic,,8.2,13,9,4,0,8,6,2,0,6,5,1,0,6,4,2,0
2023,2132,Cincinnati,Big 12,,5,12,3,9,0,9,1,8,0,7,1,6,0,5,2,3,0
1988,2132,Cincinnati,FBS Independents,,0,11,3,8,0,8,0,8,0,6,2,4,0,5,1,4,0
1963,2132,Cincinnati,Missouri Valley,,0,10,6,4,0,3,2,1,0,6,5,1,0,4,1,3,0
2021,2132,Cincinnati,American Athletic,East,10.9,14,13,1,0,9,9,0,0,7,7,0,0,6,6,0,0
1966,2132,Cincinnati,Missouri Valley,,0,10,3,7,0,4,2,2,0,6,2,4,0,4,1,3,0
1958,2132,Cincinnati,Missouri Valley,,0,10,6,2,2,4,1,1,2,7,4,2,1,3,2,0,1
1986,2132,Cincinnati,FBS Independents,,0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1955,2132,Cincinnati,FBS Independents,,0,9,1,6,2,2,1,1,0,6,1,4,1,3,0,2,1
1977,2132,Cincinnati,FBS Independents,,0,11,5,4,2,7,3,2,2,6,4,1,1,5,1,3,1
2001,2132,Cincinnati,Conference USA,,0,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0
1962,2132,Cincinnati,Missouri Valley,,0,10,2,8,0,3,1,2,0,7,2,5,0,3,0,3,0
2019,2132,Cincinnati,American Athletic,East,9.1,14,11,3,0,9,7,2,0,6,6,0,0,7,4,3,0
1989,2132,Cincinnati,FBS Independents,,0,11,1,9,1,8,0,7,1,4,0,4,0,7,1,5,1
1991,2132,Cincinnati,FBS Independents,,0,11,4,7,0,4,2,2,0,4,2,2,0,7,2,5,0
1959,2132,Cincinnati,Missouri Valley,,0,10,5,4,1,4,0,3,1,7,4,2,1,3,1,2,0
1985,2132,Cincinnati,FBS Independents,,0,11,5,6,0,6,3,3,0,5,3,2,0,6,2,4,0
2017,2132,Cincinnati,American Athletic,East,4,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
1999,2132,Cincinnati,Conference USA,,0,11,3,8,0,6,0,6,0,6,2,4,0,5,1,4,0
1998,2132,Cincinnati,Conference USA,,0,11,2,9,0,6,1,5,0,6,1,5,0,5,1,4,0
1990,2132,Cincinnati,FBS Independents,,0,11,1,10,0,5,0,5,0,3,0,3,0,8,1,7,0
1983,2132,Cincinnati,FBS Independents,,0,11,4,6,1,7,3,4,0,7,3,3,1,4,1,3,0
2004,2132,Cincinnati,Conference USA,,0,12,7,5,0,9,5,4,0,6,5,1,0,6,2,4,0
1975,2132,Cincinnati,FBS Independents,,0,11,6,5,0,4,3,1,0,6,4,2,0,5,2,3,0
1961,2132,Cincinnati,Missouri Valley,,0,10,3,7,0,3,1,2,0,7,3,4,0,3,0,3,0
2010,2132,Cincinnati,Big East,,5.8,12,4,8,0,7,2,5,0,7,3,4,0,5,1,4,0
2020,2132,Cincinnati,American Athletic,East,9,10,9,1,0,7,7,0,0,7,7,0,0,2,2,0,0
2003,2132,Cincinnati,Conference USA,,0,12,5,7,0,9,3,6,0,6,4,2,0,6,1,5,0
1969,2132,Cincinnati,Missouri Valley,,0,10,4,6,0,5,2,3,0,6,3,3,0,4,1,3,0
2024,2132,Cincinnati,Big 12,,3.4,5,3,2,0,2,1,1,0,3,2,1,0,2,1,1,0
1968,2132,Cincinnati,Missouri Valley,,0,10,5,4,1,4,2,2,0,7,4,2,1,3,1,2,0
2009,2132,Cincinnati,Big East,,0,13,12,1,0,7,7,0,0,6,6,0,0,6,6,0,0
1976,2132,Cincinnati,FBS Independents,,0,11,8,3,0,3,3,0,0,5,5,0,0,6,3,3,0
1996,2132,Cincinnati,Conference USA,,0,11,6,5,0,5,2,3,0,6,4,2,0,5,2,3,0
1973,2132,Cincinnati,FBS Independents,,0,11,4,7,0,5,2,3,0,5,4,1,0,6,0,6,0
1957,2132,Cincinnati,Missouri Valley,,0,10,5,4,1,3,1,2,0,6,3,3,0,4,2,1,1
2002,2132,Cincinnati,Conference USA,,0,14,7,7,0,9,6,3,0,8,4,4,0,6,3,3,0
1967,2132,Cincinnati,Missouri Valley,,0,9,3,6,0,4,2,2,0,6,2,4,0,3,1,2,0
1981,2132,Cincinnati,FBS Independents,,0,11,6,5,0,8,5,3,0,7,5,2,0,4,1,3,0
2018,2132,Cincinnati,American Athletic,East,10.3,13,11,2,0,8,6,2,0,6,6,0,0,6,4,2,0
2012,2132,Cincinnati,Big East,,8.3,13,10,3,0,7,5,2,0,7,6,1,0,4,2,2,0
2000,2132,Cincinnati,Conference USA,,0,12,7,5,0,7,5,2,0,6,6,0,0,5,1,4,0
1984,2132,Cincinnati,FBS Independents,,0,11,2,9,0,5,1,4,0,6,2,4,0,5,0,5,0
2008,2132,Cincinnati,Big East,,0,14,11,3,0,7,6,1,0,6,6,0,0,7,5,2,0
1960,2132,Cincinnati,Missouri Valley,,0,10,4,6,0,3,1,2,0,6,2,4,0,4,2,2,0
1964,2132,Cincinnati,Missouri Valley,,0,10,8,2,0,3,3,0,0,5,4,1,0,5,4,1,0
1978,2132,Cincinnati,FBS Independents,,0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1980,2132,Cincinnati,FBS Independents,,0,11,2,9,0,8,1,7,0,3,2,1,0,8,0,8,0
1997,2132,Cincinnati,Conference USA,,0,12,8,4,0,6,2,4,0,6,5,1,0,5,2,3,0
2005,2132,Cincinnati,Big East,,0,11,4,7,0,7,2,5,0,5,3,2,0,6,1,5,0
1970,2132,Cincinnati,FBS Independents,,0,11,7,4,0,3,2,1,0,6,4,2,0,5,3,2,0
2014,2132,Cincinnati,American Athletic,,7.6,13,9,4,0,8,7,1,0,6,5,1,0,6,4,2,0
1987,2132,Cincinnati,FBS Independents,,0,11,4,7,0,7,1,6,0,5,3,2,0,6,1,5,0
1974,2132,Cincinnati,FBS Independents,,0,11,7,4,0,4,2,2,0,6,5,1,0,5,2,3,0
1995,2132,Cincinnati,FBS Independents,,0,11,6,5,0,4,4,0,0,5,3,2,0,6,3,3,0
2016,2132,Cincinnati,American Athletic,East,4.2,12,4,8,0,8,1,7,0,7,3,4,0,5,1,4,0
2007,2132,Cincinnati,Big East,,0,13,10,3,0,7,4,3,0,7,5,2,0,6,5,1,0
2022,2132,Cincinnati,American Athletic,,6.5,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
1979,2132,Cincinnati,FBS Independents,,0,11,2,9,0,8,2,6,0,4,2,2,0,7,0,7,0
1972,2132,Cincinnati,FBS Independents,,0,11,2,9,0,3,1,2,0,5,1,4,0,6,1,5,0
1971,2132,Cincinnati,FBS Independents,,0,11,7,4,0,3,1,2,0,6,4,2,0,5,3,2,0
1992,2132,Cincinnati,FBS Independents,,0,11,3,8,0,5,0,5,0,6,3,3,0,5,0,5,0
2011,2132,Cincinnati,Big East,,6.7,13,10,3,0,7,5,2,0,6,5,1,0,6,4,2,0
1993,2132,Cincinnati,FBS Independents,,0,11,8,3,0,3,3,0,0,5,5,0,0,6,3,3,0
1956,2132,Cincinnati,FBS Independents,,0,9,4,5,0,4,1,3,0,6,3,3,0,3,1,2,0
